Handling duration;Writing duration;Total duration
2930357398;1889443870;4819801268;1
3005661648;1880336842;4885998490;1
2917116503;1902860976;4819977479;1
3115706302;1989649770;5105356072;1
3073764501;1923444029;4997208530;1
2936213004;1898799497;4835012501;1
2971685928;1906173171;4877859099;1
2918275428;1925032276;4843307704;1
2944308730;1942972211;4887280941;1
2947761141;1899066059;4846827200;1
2925071452;1911950107;4837021559;1
2964456893;1908738882;4873195775;1
2951792689;1901746998;4853539687;1
2959281622;1904973537;4864255159;1
2963339354;1911664989;4875004343;1
3006062358;1908752291;4914814649;1
2921951969;1948581803;4870533772;1
2956040172;1962041516;4918081688;1
2962934850;1965659340;4928594190;1
2919514092;1914710225;4834224317;1
2928140151;1906552563;4834692714;1
2932660964;1914103226;4846764190;1
2938282920;1911256200;4849539120;1
2965048084;1871162990;4836211074;1
2960510614;1895889660;4856400274;1
2940664594;1913569639;4854234233;1
2966477867;1917882068;4884359935;1
2940792834;1895498734;4836291568;1
2945213131;1911964996;4857178127;1
2950623091;1907926859;4858549950;1
2960951885;1878882894;4839834779;1
2971055874;1910346999;4881402873;1
2958827506;1906407072;4865234578;1
2964124310;1910772958;4874897268;1
2954848028;1944516611;4899364639;1
2967029945;1918512854;4885542799;1
2949910656;1897679725;4847590381;1
2954605962;1886626236;4841232198;1
2977765617;1897689949;4875455566;1
2925817239;1937564868;4863382107;1
2962981841;1919627711;4882609552;1
2952271847;1895208878;4847480725;1
2969992265;1939683082;4909675347;1
2949744403;1943097156;4892841559;1
2957582505;1887086378;4844668883;1
2960371485;1925273385;4885644870;1
2953963517;1895252039;4849215556;1
2960830796;1894484105;4855314901;1
2986902381;1914183036;4901085417;1
2954449859;1899028486;4853478345;1
2959582484;1909877789;4869460273;1
2943441176;1964587363;4908028539;1
2935787744;1913755918;4849543662;1
2953946392;1911960437;4865906829;1
2944323808;1899345457;4843669265;1
2967910664;1894265230;4862175894;1
2941652112;1903105377;4844757489;1
2943867906;1880518279;4824386185;1
2939786965;1913224475;4853011440;1
2955785966;1896216116;4852002082;1
2968689169;1918851794;4887540963;1
2950038807;1891574728;4841613535;1
2951208981;1910460371;4861669352;1
2978633862;1902710236;4881344098;1
2933427616;1899488339;4832915955;1
2949705245;1910046758;4859752003;1
2919071166;1908064828;4827135994;1
2921560171;1885575828;4807135999;1
2968593534;1889101331;4857694865;1
2926570251;1873341039;4799911290;1
2946541386;1919961812;4866503198;1
2933972855;1886293378;4820266233;1
2924550331;1935770962;4860321293;1
2956527478;1898796833;4855324311;1
2950925000;1950040098;4900965098;1
2936358563;1890126831;4826485394;1
2952016972;1870377925;4822394897;1
2962625941;1869607398;4832233339;1
2941232187;1886060988;4827293175;1
2918876891;1893317550;4812194441;1
2938190543;1904218231;4842408774;1
2932385580;1888283135;4820668715;1
2941083221;1914690198;4855773419;1
2925281056;1900904992;4826186048;1
2947707545;1907436323;4855143868;1
2942911218;1902880518;4845791736;1
2947941269;1927411285;4875352554;1
2953190059;1888970643;4842160702;1
2935970896;1917717896;4853688792;1
2960443559;1909694260;4870137819;1
2914372785;1919338340;4833711125;1
2987667468;1973171512;4960838980;1
3003355496;1945621458;4948976954;1
2977052375;1944523444;4921575819;1
2967875634;1969525439;4937401073;1
2921661691;1977375316;4899037007;1
2911155606;1935083850;4846239456;1
2940334011;1938469797;4878803808;1
2930435601;1935764002;4866199603;1
2942554722;1924601877;4867156599;1
