Handling duration;Writing duration;Total duration
3006046646;1881395910;4887442556
3049990972;1878494045;4928485017
3038846644;1852618802;4891465446
3020870746;1873166964;4894037710
3034417336;1849453657;4883870993
3026024656;1866814100;4892838756
3021793560;1834920410;4856713970
3041784461;1856939483;4898723944
3059252662;1878907414;4938160076
3030013994;1867330862;4897344856
3006231834;1866924637;4873156471
3029999803;1852979111;4882978914
3042111708;1862254340;4904366048
3074661380;1872178441;4946839821
3002380709;1868044888;4870425597
3034959246;1864134820;4899094066
3015790628;1868931833;4884722461
3000835752;1848015500;4848851252
3319463191;1869867298;5189330489
3029405010;1853141569;4882546579
3035942076;1901789558;4937731634
3026632249;1842448952;4869081201
3012795062;1867639648;4880434710
3052291439;1851507667;4903799106
3020049356;1854364267;4874413623
3051562843;1844189610;4895752453
3026506548;1881357829;4907864377
3030075092;1875461040;4905536132
3043923042;1857377246;4901300288
3028160645;1911307921;4939468566
3041261094;1891669959;4932931053
3013631248;1853922047;4867553295
3027493413;1898200775;4925694188
3054396846;1868683438;4923080284
3032814702;1847621861;4880436563
3072491898;1851903778;4924395676
3037812716;1849291302;4887104018
3031146326;1845318046;4876464372
3055778180;1872595607;4928373787
3064679862;1871111239;4935791101
3029095857;1841371605;4870467462
3063035483;1870488729;4933524212
3050497588;1880467462;4930965050
3037941705;1872066844;4910008549
3044689916;1875991485;4920681401
3044168905;1864042920;4908211825
3030992340;1848592612;4879584952
3055834415;1857191603;4913026018
3037801612;1851811820;4889613432
3029790531;1880975612;4910766143
3034311535;1876377393;4910688928
3065843315;1864530709;4930374024
3020929393;1879073387;4900002780
3048035332;1906104629;4954139961
3034458691;1915833729;4950292420
3102338109;1895144214;4997482323
3078624034;1886189211;4964813245
3099257746;1907788763;5007046509
3051974196;1853197204;4905171400
3049797844;1899902274;4949700118
3066524813;1889087513;4955612326
3078871042;1875885678;4954756720
3051441660;1860558385;4912000045
3027487593;1864130810;4891618403
3039700531;1877057206;4916757737
3011286193;1864389210;4875675403
3041398102;1882461082;4923859184
3057747902;1879268166;4937016068
3035110902;1876962127;4912073029
3072591855;1897182120;4969773975
3012814208;1858395692;4871209900
3041475855;1870816858;4912292713
3034129445;1878292328;4912421773
3058023685;1857937339;4915961024
3048321924;1839350854;4887672778
3056541608;1876263365;4932804973
3085740758;1804806532;4890547290
3066980691;1886949882;4953930573
3041673136;1901099244;4942772380
3025489359;1856446099;4881935458
3088558928;1845770027;4934328955
3036525056;1882318399;4918843455
3017376513;1891048574;4908425087
3035505355;1843154378;4878659733
3036536910;1897140243;4933677153
3204057995;1891966230;5096024225
3044765829;1852997269;4897763098
3066100729;1884344236;4950444965
3020648150;1880632420;4901280570
3054372545;1865229091;4919601636
3018781287;1858092317;4876873604
3032418536;1898809714;4931228250
3042227627;1873063942;4915291569
3034647664;1895138877;4929786541
3055164349;1874258206;4929422555
3045779360;1862200370;4907979730
3038941861;1846232150;4885174011
3038905571;1879198278;4918103849
3039184332;1901925368;4941109700
3031291631;1848409948;4879701579
