Handling Duration;Writing Duration;Total Duration
167094180;96388600;263482780;1
160982179;94262317;255244496;1
172050566;99039873;271090439;1
163378166;93994030;257372196;1
164170833;100268120;264438953;1
162033586;96814382;258847968;1
165937653;99024536;264962189;1
163012141;97122589;260134730;1
163081810;96087472;259169282;1
161141963;94890004;256031967;1
164399686;96409604;260809290;1
164241554;100340221;264581775;1
164287449;100917778;265205227;1
167320187;98827278;266147465;1
163169041;98296458;261465499;1
163392953;95770186;259163139;1
163255667;97457474;260713141;1
163185087;94968343;258153430;1
163428732;99347823;262776555;1
165896694;94939661;260836355;1
163573090;97984053;261557143;1
165384408;96672385;262056793;1
167902617;99477597;267380214;1
165931772;98781662;264713434;1
164658198;101549207;266207405;1
164815586;99493340;264308926;1
164814584;97290132;262104716;1
163876515;96286970;260163485;1
168515459;96904972;265420431;1
165168583;99404543;264573126;1
163378726;95998143;259376869;1
164889756;95619944;260509700;1
164634123;96451671;261085794;1
164050892;100316463;264367355;1
163278549;94748211;258026760;1
165698527;101294465;266992992;1
167515333;97916474;265431807;1
166869768;100553675;267423443;1
168320998;96381523;264702521;1
167882785;94271257;262154042;1
167717515;98415522;266133037;1
164453624;95860820;260314444;1
165014643;100483973;265498616;1
167394901;100843154;268238055;1
166005895;97453937;263459832;1
166053888;95240524;261294412;1
165581291;96427602;262008893;1
165721589;94704356;260425945;1
166474025;100013508;266487533;1
169039353;97973054;267012407;1
164367997;96426738;260794735;1
163557404;100188096;263745500;1
170215569;99342258;269557827;1
171871172;97221936;269093108;1
171393701;99209409;270603110;1
168577699;99971696;268549395;1
173492326;102060619;275552945;1
169689694;97912916;267602610;1
167481655;97022293;264503948;1
167725445;96573341;264298786;1
164544403;97154860;261699263;1
163936949;96789720;260726669;1
166504118;95790886;262295004;1
163852091;95478245;259330336;1
175104424;95269957;270374381;1
162431317;96130595;258561912;1
167117597;97455942;264573539;1
166714103;99586343;266300446;1
170824506;100372836;271197342;1
166635230;99225596;265860826;1
167111631;97072944;264184575;1
176250009;99039075;275289084;1
171699510;96530655;268230165;1
189839869;100578957;290418826;1
167905207;94414538;262319745;1
169494610;96625572;266120182;1
168070076;99235932;267306008;1
168511730;101210297;269722027;1
166566227;96769185;263335412;1
166678830;97404600;264083430;1
164230601;96555348;260785949;1
167221607;97057593;264279200;1
166880837;95995035;262875872;1
167547813;95899067;263446880;1
166053631;96151180;262204811;1
169917260;94395237;264312497;1
166626404;97633992;264260396;1
171248872;94407335;265656207;1
174933814;94925119;269858933;1
168203230;97721054;265924284;1
163779481;93700512;257479993;1
169576300;97950481;267526781;1
168048371;96482759;264531130;1
170437307;99374831;269812138;1
171506046;94534079;266040125;1
170265195;97842616;268107811;1
163162582;98312316;261474898;1
173302276;98235551;271537827;1
166378208;95280710;261658918;1
168875973;97534070;266410043;1
