Handling duration;Writing duration;Total duration
164499583;101718605;266218188
165859923;100861723;266721646
168070971;103599214;271670185
168432227;104439293;272871520
164046272;101730121;265776393
166444908;100327366;266772274
166127603;100721984;266849587
167612430;101686000;269298430
164626373;99848877;264475250
166326930;108298907;274625837
163806178;100558890;264365068
164646573;102455214;267101787
165768408;100798302;266566710
167718382;99281367;266999749
165037756;98997673;264035429
164628886;101343652;265972538
164215726;99949840;264165566
165025261;99051063;264076324
165008871;98910068;263918939
166664928;96069197;262734125
164356379;102459892;266816271
163556948;101920927;265477875
166341068;100601487;266942555
169969794;101731272;271701066
166406368;97555606;263961974
163739243;103923945;267663188
167726936;100274906;268001842
168905735;113334721;282240456
170710132;98031435;268741567
165666345;100926920;266593265
168189921;101578054;269767975
168094319;99826938;267921257
165756936;99527550;265284486
167606076;99120692;266726768
169168880;100119468;269288348
164138321;97810424;261948745
165854065;102221310;268075375
165338046;101546050;266884096
170322316;99887343;270209659
167448811;98296970;265745781
163668068;104765231;268433299
166427170;101206204;267633374
162175031;100312729;262487760
164129503;99772343;263901846
164531808;100314248;264846056
162770682;98009241;260779923
164238866;98446080;262684946
166344039;100804205;267148244
170265424;100402597;270668021
168499903;96498294;264998197
163698780;101514548;265213328
169192297;101352521;270544818
168755247;100291606;269046853
165126044;103306163;268432207
167947198;102517954;270465152
170098495;98155115;268253610
169065295;99541775;268607070
169005039;101358781;270363820
165305394;102466386;267771780
169403584;97341454;266745038
168789579;96317143;265106722
165204971;100675523;265880494
164438334;100190884;264629218
163674277;100907072;264581349
166887106;99510560;266397666
165571746;100612724;266184470
167167712;98110164;265277876
165257077;98423152;263680229
168028100;101053243;269081343
164113768;100284659;264398427
165808871;100211873;266020744
164636976;100491479;265128455
168528106;101227168;269755274
164092748;97575680;261668428
163998611;101170124;265168735
166202808;100784377;266987185
168235751;102242510;270478261
163939798;100495531;264435329
166613395;97245447;263858842
169313191;99813065;269126256
165481834;100275617;265757451
171789881;100081862;271871743
165482107;112796416;278278523
170400614;99086361;269486975
166066167;102561036;268627203
163633506;100408873;264042379
165735450;107151100;272886550
166248033;97702122;263950155
165270873;101413537;266684410
163053639;99844996;262898635
170204433;104183600;274388033
167404408;98739064;266143472
167276379;98590599;265866978
164022259;101994416;266016675
167371444;100607086;267978530
165123491;102579153;267702644
169871285;99743637;269614922
168584094;103641025;272225119
166580625;96465346;263045971
166624753;100956310;267581063
