Reading duration;Conversion duration;Sorting duration;Compression duration;Aggregation duration;Writing duration;Total duration;Packet handling time;Packets per second;Packet count;Total file size;Bytes per packet;File count
6534646344;6535298822;6555031395;6640375583;6805015868;8428852940;9763233821;370;2702702;26336938;396311852;15.0478;2
5686375144;5686543767;5732482947;5986004609;6219394569;7595577123;8768662207;332;3012048;26336938;392373644;14.8982;2
5983694786;5983756236;6035821820;6310872518;6537049858;7993396724;9216139236;349;2865329;26336938;392638572;14.9083;2
5967600633;5967702058;6018246415;6297578543;6527217586;7969071359;9173953725;348;2873563;26336938;392553456;14.9051;2
6371037125;6371115641;6386621056;6483520907;6693145785;8084109945;9182773513;348;2873563;26336938;395675940;15.0236;2
6220953642;6221063887;6233789608;6444561432;6640138212;8102099301;9177998511;348;2873563;26336938;395539816;15.0184;2
5647584393;5647712360;5694308969;5943295606;6179221491;7623720572;8852042953;336;2976190;26336938;392512960;14.9035;2
5769922593;5770271276;5818571093;6080489374;6310125586;7695275215;8859751677;336;2976190;26336938;392518724;14.9037;2
5820977516;5821050860;5873297820;6140616957;6368668203;7824045449;9046755015;343;2915451;26336938;392579748;14.9061;2
5883937508;5884052887;5933428266;6195062800;6431672779;7927631387;9242271738;350;2857142;26336938;392214548;14.8922;2
6437813417;6437890645;6461924111;6566422635;6785250326;8313827454;9487554199;360;2777777;26336938;396599448;15.0587;2
6455601323;6455641966;6475772318;6559430792;6762217446;8221660349;9357275358;355;2816901;26336938;396697872;15.0624;2
6062780785;6062875342;6068241791;6351519907;6565286251;8030123964;9190924753;348;2873563;26336938;394125260;14.9647;2
6103142644;6103194510;6110206394;6377962333;6592026994;7993943628;9092653844;345;2898550;26336938;394598180;14.9827;2
5970009149;5970209611;6023039833;6308584963;6529017434;8048121983;9373163080;355;2816901;26336938;392569916;14.9057;2
6305766522;6305862565;6320574432;6478329423;6666070416;8127982792;9199382574;349;2865329;26336938;396072800;15.0387;2
5983366020;5983459938;6036124390;6318897433;6555529371;7950570451;9116600358;346;2890173;26336938;392631088;14.908;2
5991918950;5991995101;6044340329;6324961078;6549349851;7955220589;9126172165;346;2890173;26336938;392600332;14.9068;2
