Reading Duration;Conversion Duration;Sorting Duration;Compression Duration;Aggregation Duration;Writing Duration;Total Duration;Packet Handling Time;Packets per Second;Packet Count;Total File Size;Bytes per Packet;File Count
26490580964;26490946739;26532102638;26960726393;27124860174;27924139890;28036874068;273;3663003;102599774;1797471466;17.5193;12
23048759345;23048857914;23119426291;23435385994;23636460467;24389905271;24613522578;239;4184100;102599774;1769918578;17.2507;12
22223913450;22223990660;22248875540;22846353633;23076618910;23813807811;24079161175;234;4273504;102599774;1763073966;17.184;12
23586105467;23586185823;23676530561;24112951105;24277807010;24932049461;25269934826;246;4065040;102599774;1771383982;17.265;12
23376388356;23376466938;23464217226;23835080133;23999624854;24634238633;24985452688;243;4115226;102599774;1770833014;17.2596;12
23346079025;23346153167;23425144955;23790809272;23959292026;24609881472;24920424583;242;4132231;102599774;1770804250;17.2593;12
22042147724;22042222421;22141117688;22694054798;22784757559;23653321826;23878402088;232;4310344;102599774;1757633784;17.131;11
23566168959;23566265670;23656075753;24071158053;24262154060;24903650106;25247007014;246;4065040;102599774;1771073782;17.262;12
23473469001;23473543403;23559312037;23959807204;24115323486;24744782976;25080810606;244;4098360;102599774;1771200130;17.2632;12
23610343698;23610417348;23701434117;24120763068;24315430656;24972548377;25320738717;246;4065040;102599774;1771466574;17.2658;12
22575561380;22575656851;22623656665;23078088285;23262674496;24006462632;24202906509;235;4255319;102599774;1766977726;17.222;12
23344625420;23344733651;23424450902;23792351171;23962623611;24594744311;24928200814;242;4132231;102599774;1770850494;17.2598;12
23257908228;23257985487;23333533884;23695934171;23872246602;24493595106;24846781405;242;4132231;102599774;1770361798;17.255;12
23490007069;23490081198;23579709973;23994315942;24151597012;24849208110;25235686706;245;4081632;102599774;1771210346;17.2633;12
23193790955;23194049512;23269511618;23586718053;23782355857;24460552832;24769531853;241;4149377;102599774;1770324162;17.2547;12
23570334774;23570817156;23661716149;24068705004;24227905509;24878106999;25219687088;245;4081632;102599774;1771386050;17.265;12
23357549853;23357652466;23443580814;23812444271;23971756948;24590593759;24926741787;242;4132231;102599774;1770762794;17.2589;12
23703746158;23703826302;23800032860;24233079717;24390249023;25025670944;25350743277;247;4048582;102599774;1771460034;17.2657;12
23426426576;23426847378;23521901841;23940125444;24149030106;24821304085;25223702564;245;4081632;102599774;1770593882;17.2573;12
25176604640;25176750722;25248692541;25515772719;25624461064;26353237275;26469402502;257;3891050;102599774;1786107890;17.4085;12
24413233483;24413301295;24453210260;24906845595;25044624796;25778840973;25930567365;252;3968253;102599774;1781872850;17.3672;12
24180228166;24180484838;24198985770;24751187804;24857901978;25528803763;25732561053;250;4000000;102599774;1778257698;17.332;12
23434104831;23434191734;23517918953;23901923318;24062602560;24689515536;25034556384;244;4098360;102599774;1771240826;17.2636;12
23695634661;23695727884;23790987290;24229876213;24379068714;25028552556;25345633929;247;4048582;102599774;1771637978;17.2675;12
22396036701;22396112234;22437773966;22991691781;23183368783;23926069022;24157418406;235;4255319;102599774;1765365842;17.2063;12
