Reading Duration;Conversion Duration;Sorting Duration;Compression Duration;Aggregation Duration;Writing Duration;Total Duration;Packet Handling Time;Packets per Second;Packet Count;Total File Size;Bytes per Packet;File Count
23606200386;23606271449;23706790454;24150131535;24342584416;25025911079;25392802323;247;4048582;102599774;1771282246;17.264;12
23975607880;23975678516;24090232168;24607523739;24759534603;25456992352;25796502062;251;3984063;102599774;1771423718;17.2654;12
24291647083;24291706989;24323749659;24813716761;24939444584;25632499139;25798331962;251;3984063;102599774;1780310178;17.352;12
24024505633;24024569276;24125006809;24627452305;24783774548;25479834090;25793892839;251;3984063;102599774;1773183154;17.2825;12
23759869462;23759953408;23867410024;24342943138;24500402630;25158941986;25505268926;248;4032258;102599774;1771355238;17.2647;12
23400382199;23400471468;23488753367;23891995696;24066209628;24731557913;25102223243;244;4098360;102599774;1770699786;17.2583;12
23861548227;23861805394;23967662145;24446308092;24611094219;25302892156;25671549791;250;4000000;102599774;1771321570;17.2644;12
23790663731;23790739792;23895595902;24381569552;24533366842;25208512762;25547491842;249;4016064;102599774;1771269098;17.2639;12
23663579502;23663654439;23764066663;24226466030;24394220411;25051714703;25403280858;247;4048582;102599774;1771159902;17.2628;12
24342721136;24342818268;24376984437;24905292673;25040151926;25754804544;25926977678;252;3968253;102599774;1780727134;17.3561;12
24049153269;24049236264;24139874256;24642412028;24793031853;25481210668;25756865609;251;3984063;102599774;1774749654;17.2978;12
23155547673;23155631543;23237995560;23608417896;23775930860;24509087625;24789523160;241;4149377;102599774;1770004970;17.2515;12
23733301790;23733380507;23835985641;24308405688;24459778221;25135837099;25475222521;248;4032258;102599774;1771209314;17.2633;12
24251699924;24251783035;24276226412;24791653791;24917546030;25617366393;25824413614;251;3984063;102599774;1779699406;17.346;12
24119366844;24119462396;24171673038;24707902226;24840517807;25550679757;25803402402;251;3984063;102599774;1777257438;17.3222;12
23829966383;23830037231;23934426754;24408968280;24575472202;25260846572;25643379905;249;4016064;102599774;1771413946;17.2653;12
23375403372;23375501361;23463307832;23854442732;24026902786;24680924983;25039456301;244;4098360;102599774;1770686946;17.2582;12
23447839699;23447923453;23537829040;23940297496;24118231252;24768975386;25109423446;244;4098360;102599774;1770950582;17.2608;12
24156891077;24156987843;24186065480;24702770036;24831167549;25540371678;25772596204;251;3984063;102599774;1778147174;17.3309;12
23716257386;23716337513;23820928373;24297304689;24467098531;25153891668;25522703341;248;4032258;102599774;1771088478;17.2621;12
23683976545;23684064301;23785794625;24251811214;24422570290;25077448271;25408932521;247;4048582;102599774;1771204410;17.2632;12
23124222356;23125324761;23203194563;23547700472;23731378919;24517922646;24784916922;241;4149377;102599774;1769957310;17.2511;12
23303670022;23303783162;23386664227;23760238820;23935519123;24666126974;24967043188;243;4115226;102599774;1770436010;17.2557;12
24442972252;24443053363;24482457633;24889009310;25030794325;25747938394;25894079065;252;3968253;102599774;1782221002;17.3706;12
24477675830;24477756671;24519190229;24929856815;25054818148;25765313832;25897186297;252;3968253;102599774;1782383650;17.3722;12
24927986769;24928105335;24995609690;25243199815;25347471863;26120398133;26279557031;256;3906250;102599774;1785516434;17.4027;12
24489306833;24489454735;24531828523;24937275770;25059633553;25782201703;25899081555;252;3968253;102599774;1782642934;17.3747;12
23245223425;23245320951;23330343897;23705061122;23879894191;24560817435;24887154812;242;4132231;102599774;1770310022;17.2545;12
24186757817;24186869712;24211619580;24754776348;24881061603;25578078102;25782731524;251;3984063;102599774;1778765546;17.3369;12
23563951614;23564053181;23658421939;24096722663;24262608204;24915252061;25270010733;246;4065040;102599774;1770962794;17.2609;12
24723431612;24723522101;24778007225;25043776987;25167888173;25892542592;26042997812;253;3952569;102599774;1784190726;17.3898;12
24365515842;24365626300;24399467453;24855550713;24975185888;25681061140;25861083731;252;3968253;102599774;1781215094;17.3608;12
24391770691;24391846363;24428360503;24878253272;25003111864;25700802902;25849657277;251;3984063;102599774;1781379614;17.3624;12
23748637111;23748758292;23854551158;24337384393;24484614371;25159315880;25528813747;248;4032258;102599774;1771268194;17.2639;12
23797372376;23797450279;23905458686;24394007608;24549247307;25232080662;25585450156;249;4016064;102599774;1771219286;17.2634;12
23999682068;23999767395;24116865417;24628983745;24784119336;25491158582;25867678257;252;3968253;102599774;1771411182;17.2653;12
24149711120;24149823943;24183829346;24718504644;24842927677;25547928404;25792981356;251;3984063;102599774;1777811278;17.3276;12
24126151058;24126265832;24170807901;24708437835;24829934942;25526526078;25768823777;251;3984063;102599774;1777321298;17.3229;12
24030996095;24031046175;24131989135;24656338612;24795629968;25496163855;25814462223;251;3984063;102599774;1773519914;17.2858;12
24123976256;24124080811;24176187016;24706373859;24838120227;25526850894;25777723800;251;3984063;102599774;1777102602;17.3207;12
23059829742;23059901951;23138580167;23498962351;23665981708;24434420264;24687581874;240;4166666;102599774;1769625734;17.2479;12
