Reading Duration;Conversion Duration;Sorting Duration;Compression Duration;Aggregation Duration;Writing Duration;Total Duration;Packet Handling Time;Packets per Second;Packet Count;Total File Size;Bytes per Packet;File Count
1992797850;1993387948;1996505567;2026048996;2035291118;2085391120;2136664280;2071;482858;1031564;13411410;13.001;1
1153076417;1153132201;1156275059;1185855509;1195086965;1247623213;1299751432;1259;794281;1031564;13411446;13.0011;1
1084196662;1084403000;1088112177;1119899653;1128610004;1178760975;1229403902;1191;839630;1031564;13411346;13.001;1
1171418284;1171345533;1173461085;1202672310;1211721245;1261524280;1315236113;1274;784929;1031564;13411282;13.0009;1
1071587624;1071681769;1075269302;1103098910;1111821921;1162073636;1212743879;1175;851063;1031564;13411406;13.001;1
1114624787;1114700739;1118072070;1147932913;1155342361;1208527627;1260720048;1222;818330;1031564;13411690;13.0013;1
1107437423;1107516527;1110727322;1140397709;1148925579;1199907822;1251209929;1212;825082;1031564;13411698;13.0013;1
1077563868;1077811844;1081266893;1110375922;1119469285;1170195084;1221826976;1184;844594;1031564;13411398;13.001;1
1087471777;1087577070;1090850543;1121522953;1130362719;1182444638;1234910524;1197;835421;1031564;13411490;13.0011;1
1131582558;1132119693;1135257239;1167980635;1176725315;1228955341;1282013639;1242;805152;1031564;13411398;13.001;1
1120565692;1120665164;1124264692;1153854908;1162220473;1212665568;1263623329;1224;816993;1031564;13411490;13.0011;1
1077252458;1077349024;1080500460;1112076802;1121138143;1171645740;1222761839;1185;843881;1031564;13411470;13.0011;1
1099021369;1099104981;1110938953;1138952446;1147905094;1198223330;1249083868;1210;826446;1031564;13411382;13.001;1
1081978797;1082061607;1085248535;1114743266;1123202627;1175363150;1228066073;1190;840336;1031564;13411306;13.0009;1
1074100199;1074189737;1077382664;1108453525;1116892563;1166925199;1218753838;1181;846740;1031564;13411394;13.001;1
1129894320;1130331564;1133424178;1161052322;1169688625;1219370039;1269692004;1230;813008;1031564;13411402;13.001;1
1107859670;1107935167;1111354319;1140460994;1148892325;1199020534;1249501592;1211;825763;1031564;13411514;13.0011;1
1097842373;1097957715;1101252379;1131070572;1139962305;1191245715;1242937091;1204;830564;1031564;13411310;13.0009;1
1092272014;1092367179;1095569027;1124682472;1133193613;1186811451;1239922979;1201;832639;1031564;13411402;13.001;1
1113614905;1113690271;1116844389;1151280481;1160365398;1211771634;1263522906;1224;816993;1031564;13411306;13.0009;1
1092336458;1092411304;1095675998;1127345500;1135968013;1187978164;1239538177;1201;832639;1031564;13411502;13.0011;1
1106126499;1106204549;1109517657;1137266214;1146307887;1196186547;1246475802;1208;827814;1031564;13411370;13.001;1
1111638106;1111704466;1114932682;1142210222;1151338595;1201781908;1252561234;1214;823723;1031564;13411370;13.001;1
1132984545;1133090505;1136443599;1165670321;1174386013;1224736633;1276216385;1237;808407;1031564;13411514;13.0011;1
1099665390;1099741759;1103106990;1134058452;1143172433;1194562369;1247059930;1208;827814;1031564;13411414;13.001;1
1092203608;1092287151;1096778864;1125563575;1134272572;1186904083;1240823542;1202;831946;1031564;13411434;13.0011;1
1102716826;1102836266;1106400179;1135103969;1144148757;1196602209;1249426900;1211;825763;1031564;13411282;13.0009;1
1110088902;1110182785;1113377235;1142826318;1151606675;1202499674;1253793525;1215;823045;1031564;13411542;13.0012;1
1090002216;1090161314;1093399554;1122860994;1131595179;1187807254;1243547220;1205;829875;1031564;13411370;13.001;1
1085645125;1085713614;1088957863;1119157452;1127980043;1178505372;1230464085;1192;838926;1031564;13411446;13.0011;1
1134314159;1134392923;1137559678;1167089200;1176007320;1230445222;1284359523;1245;803212;1031564;13411374;13.001;1
1131499715;1131580570;1134836275;1163663104;1172142379;1224012498;1277113424;1238;807754;1031564;13411406;13.001;1
1116609672;1116701409;1119931439;1149735030;1158253085;1214070377;1270163265;1231;812347;1031564;13411606;13.0012;1
1128327825;1128388625;1131770809;1159743919;1168534430;1218518892;1268970985;1230;813008;1031564;13411530;13.0012;1
1102783590;1102872825;1105939216;1136326094;1144806274;1196181133;1248009641;1209;827129;1031564;13411550;13.0012;1
1093527521;1093603638;1096697538;1126250650;1135396467;1185685389;1237091827;1199;834028;1031564;13411330;13.001;1
1099849313;1099897731;1103264800;1133818155;1142420904;1192298441;1242791668;1204;830564;1031564;13411314;13.001;1
1082697537;1082809094;1085976860;1114673580;1123888323;1174095863;1224649112;1187;842459;1031564;13411266;13.0009;1
1092344562;1092404322;1095628360;1125248787;1134238923;1184820553;1235763870;1197;835421;1031564;13411370;13.001;1
1097752988;1097825104;1101087591;1130075951;1139203254;1190996426;1242230448;1204;830564;1031564;13411430;13.0011;1
1091328321;1091573729;1095059765;1124318328;1133135373;1183381593;1233900353;1196;836120;1031564;13411642;13.0013;1
1102045750;1102115833;1105203124;1134403291;1143481837;1194969089;1247748984;1209;827129;1031564;13411266;13.0009;1
1114439404;1114543763;1117686106;1147132360;1156218686;1206477683;1257080791;1218;821018;1031564;13411322;13.001;1
1084539155;1084587376;1087868975;1117824960;1127230830;1177332269;1227674744;1190;840336;1031564;13411394;13.001;1
1121266060;1121335537;1124395518;1154020885;1162704474;1213610856;1265731130;1227;814995;1031564;13411382;13.001;1
1131813701;1131906055;1135356727;1169543182;1178273032;1228361108;1278764027;1239;807102;1031564;13411378;13.001;1
1117197584;1117252348;1120569006;1149873891;1158327007;1210564498;1263190153;1224;816993;1031564;13411498;13.0011;1
1096869798;1097021376;1100014202;1130704276;1139260311;1189874450;1240928040;1202;831946;1031564;13411346;13.001;1
